from,to,year,type,pps,
,,,,,
DG,RCD,2019,2,"0,8",
RCD,Ru,2019,1,"2,2",
Mi,SDH,2019,2,"0,8",
SDH,FR,2019,1,"1,4",
JCU,GFC,2019,2,0,(War nicht in der Tabelle)
GFC,Eu,2019,1,0,(War nicht in der Tabelle)
AG,ALA,2019,2,1,
ALA,Ab,2019,1,"0,8",
Ru,RBe,2019,2,1,
RBe,QS,2019,1,"1,4",
JL,SeFC,2019,2,0,(War nicht in der Tabelle)
SeFC,JC,2019,1,0,(War nicht in der Tabelle)
AlC,VCF,2019,2,"1,6",
VCF,Ma,2019,1,2,
PMa,RCD,2019,2,"0,6",
RCD,DG,2019,1,"0,8",
LC,CDl,2019,2,1,(nur 3 Spiele)
CDl,MaP,2019,1,"0,4",
OGa,CV,2019,2,1,
CV,FE,2019,1,"0,6",
JAg,CDl,2019,2,1,
CDl,LC,2019,1,"0,6",(2 Trainer steht in der Tabelle)
Ab,RCD,2019,2,"1,6",
RCD,PMa,2019,1,"0,4",
EV,FCBa,2020,2,"1,8",
FCBa,QS,2020,1,"2,4",
AT,RBe,2020,2,"1,4",
RBe,Ru,2020,1,"0,8",
FRu,RCD,2020,2,0,(alle Spiele verloren)
RCD,Ab,2020,1,"0,8",
Vo,VCF,2020,2,"1,4",
VCF,AlC,2020,1,"0,8",
JMu,ALA,2020,2,1,
ALA,AG,2020,1,0,(alle Spiele verloren)
MPe,RBe,2020,2,"1,8",
RBe,AT,2020,1,"0,8",
