from,to,year,type,pps,
(Premier League 2019/20),,,,,
GP,BHA,2019,2,1,
BHA,CH,2019,1,"0,6",
FL,CFC,2019,2,"1,6",
CFC,MS,2019,1,"1,2",
SB,NU,2019,2,"0,8",
NU,RB,2019,1,2,
QSF,FCW,2019,2,"0,2",
FCW,JG,2019,1,"0,6",
JM,TH,2019,2,"2,4",
TH,MP,2019,1,"0,6",
FLj,ArFC,2019,2,1,
ArFC,UM,2019,1,"0,6",
HM,FCW,2019,2,"0,25",
FCW,QSF,2019,1,"0,8",
DF,EvFC,2019,2,"1,25",
EvFC,MSi,2019,1,"0,8",
NP,FCW,2019,2,2,
FCW,HM,2019,1,"0,8",
CA,EvFC,2019,2,2,
EVE,DF,2019,1,1,
MA,ArFC,2019,2,"1,2",
ArFC,FLj,2019,1,1,
DM,WHU,2019,2,"0,8",
WHU,MP,2019,1,"0,6",
HM,FCW,2020,2,0,(nur 2 Spiele)
FCW,NP,2020,1,"1,2",
