id,name ,type,league,
(Premiere League 2019/2020),,,,
ArFC,Arsenal FC,2,2,
BHA,Brigthon & Hove Albion,2,2,
CA,Carlo Ancelotti,1,2,
CH,Chris Houghton,1,2,
DF,Duncan Ferguson,1,2,(Interimstrainer)
DM,David Moyes,1,2,
EvFC,Everton FC,2,2,
FLj,Freddie Ljungberg,1,2,
GP,Graham Potter,1,2,
JG,Javi Gracia,1,2,
MA,Mikel Arteta,1,2,
MP,Mauricio Pochettino,1,2,
MPe,Manuel Pellegrini,1,2,
MS,Maurizio Sarri,1,2,
MSi,Marco Silva,1,2,
NP,Nigel Pearson,1,2,
NU,Newcastle United,2,2,
QSF,Quique Sánchez Flores,1,2,
RB,Rafel Benítez,1,2,
SB,Steve Bruce,1,2,
UM,Unai Emery,1,2,
WHU,Westham United,2,2,
HM ,Hayden Mullins,1,2,
FCW,FC Waford,2,2,
FL ,Frank Lampard,1,2,
CFC,Chelsea FC,2,2,
TH,Totenham Hotspur,2,2,
JM,Jose Mourinho,1,2,
